Flight Number,Origin,Destination,Expected Departure/Arrival,Special Request Code
TG 217,Bangkok (BKK),Singapore (SIN),9:00 AM,DDJB
EK 450,Dubai (DXB),London (LHR),10:45 AM,CFFT
QF 128,Sydney (SYD),Singapore (SIN),12:30 PM,LWTT
BA 301,London (LHR),Dubai (DXB),1:00 PM,CFFT
SQ 521,Manila (MNL),Singapore (SIN),2:00 PM,
MH 302,Singapore (SIN),Kuala Lumpur (KUL),3:10 PM,DDJB
JL 108,Tokyo (NRT),Singapore (SIN),4:50 PM,CFFT
CX 890,Hong Kong (HKD),Singapore (SIN),5:30 PM,LWTT
TR 543,Singapore (SIN),Bangkok (BKK),6:20 PM,
EK 789,Dubai (DXB),Singapore (SIN),8:00 PM,CFFT
QF 567,Sydney (SYD),Singapore (SIN),9:10 PM,
BA 890,London (LHR),Singapore (SIN),10:30 PM,DDJB
MH 204,Jakarta (CGK),Singapore (SIN),11:50 PM,CFFT
SQ 200,Tokyo (NRT),Singapore (SIN),2:25 AM,
JL 511,Singapore (SIN),Tokyo (NRT),3:45 AM,LWTT
CX 332,Hong Kong (HKD),Singapore (SIN),5:20 AM,
QF 342,Sydney (SYD),Singapore (SIN),7:40 AM,CFFT
TR 778,Bangkok (BKK),Singapore (SIN),8:15 AM,LWTT
